POSTCODE,CITY,TYPE,COUNT
3000,MELBOURNE,A Crimes against the person,2460
3000,MELBOURNE,B Property and deception offences,36
3000,MELBOURNE,B Property and deception offences,1
3000,MELBOURNE,B Property and deception offences,806
3000,MELBOURNE,B Property and deception offences,49
3000,MELBOURNE,B Property and deception offences,9
3000,MELBOURNE,B Property and deception offences,15
3000,MELBOURNE,B Property and deception offences,689
3000,MELBOURNE,B Property and deception offences,210
3000,MELBOURNE,B Property and deception offences,701
3000,MELBOURNE,B Property and deception offences,1505
3000,MELBOURNE,B Property and deception offences,402
3000,MELBOURNE,B Property and deception offences,370
3000,MELBOURNE,B Property and deception offences,30
3000,MELBOURNE,B Property and deception offences,6443
3000,MELBOURNE,B Property and deception offences,180
3000,MELBOURNE,B Property and deception offences,2
3000,MELBOURNE,B Property and deception offences,2846
3000,MELBOURNE,B Property and deception offences,87
3000,MELBOURNE,B Property and deception offences,27
3000,MELBOURNE,B Property and deception offences,4
3000,MELBOURNE,B Property and deception offences,59
3000,MELBOURNE,B Property and deception offences,1
3000,MELBOURNE,C Drug offences,138
3000,MELBOURNE,C Drug offences,16
3000,MELBOURNE,C Drug offences,775
3000,MELBOURNE,C Drug offences,2
3000,MELBOURNE,D Public order and security offences,403
3000,MELBOURNE,D Public order and security offences,4299
3000,MELBOURNE,D Public order and security offences,317
3000,MELBOURNE,D Public order and security offences,7
3000,MELBOURNE,E Justice procedures offences,410
3000,MELBOURNE,E Justice procedures offences,1650
3000,MELBOURNE,F Other offences,33
3000,MELBOURNE,F Other offences,45
3000,MELBOURNE,F Other offences,19
3002,EAST MELBOURNE,A Crimes against the person,94
3002,EAST MELBOURNE,B Property and deception offences,2
3002,EAST MELBOURNE,B Property and deception offences,40
3002,EAST MELBOURNE,B Property and deception offences,3
3002,EAST MELBOURNE,B Property and deception offences,1
3002,EAST MELBOURNE,B Property and deception offences,2
3002,EAST MELBOURNE,B Property and deception offences,84
3002,EAST MELBOURNE,B Property and deception offences,37
3002,EAST MELBOURNE,B Property and deception offences,127
3002,EAST MELBOURNE,B Property and deception offences,5
3002,EAST MELBOURNE,B Property and deception offences,27
3002,EAST MELBOURNE,B Property and deception offences,11
3002,EAST MELBOURNE,B Property and deception offences,2
3002,EAST MELBOURNE,B Property and deception offences,101
3002,EAST MELBOURNE,B Property and deception offences,3
3002,EAST MELBOURNE,B Property and deception offences,29
3002,EAST MELBOURNE,B Property and deception offences,2
3002,EAST MELBOURNE,C Drug offences,5
3002,EAST MELBOURNE,C Drug offences,32
3002,EAST MELBOURNE,D Public order and security offences,3
3002,EAST MELBOURNE,D Public order and security offences,110
3002,EAST MELBOURNE,D Public order and security offences,3
3002,EAST MELBOURNE,E Justice procedures offences,10
3002,EAST MELBOURNE,E Justice procedures offences,52
3002,EAST MELBOURNE,F Other offences,2
3002,EAST MELBOURNE,F Other offences,1
3003,WEST MELBOURNE,A Crimes against the person,77
3003,WEST MELBOURNE,B Property and deception offences,2
3003,WEST MELBOURNE,B Property and deception offences,42
3003,WEST MELBOURNE,B Property and deception offences,3
3003,WEST MELBOURNE,B Property and deception offences,4
3003,WEST MELBOURNE,B Property and deception offences,55
3003,WEST MELBOURNE,B Property and deception offences,34
3003,WEST MELBOURNE,B Property and deception offences,72
3003,WEST MELBOURNE,B Property and deception offences,6
3003,WEST MELBOURNE,B Property and deception offences,8
3003,WEST MELBOURNE,B Property and deception offences,7
3003,WEST MELBOURNE,B Property and deception offences,1
3003,WEST MELBOURNE,B Property and deception offences,74
3003,WEST MELBOURNE,B Property and deception offences,1
3003,WEST MELBOURNE,B Property and deception offences,98
3003,WEST MELBOURNE,B Property and deception offences,1
3003,WEST MELBOURNE,C Drug offences,2
3003,WEST MELBOURNE,C Drug offences,15
3003,WEST MELBOURNE,D Public order and security offences,15
3003,WEST MELBOURNE,D Public order and security offences,46
3003,WEST MELBOURNE,D Public order and security offences,1
3003,WEST MELBOURNE,E Justice procedures offences,15
3003,WEST MELBOURNE,E Justice procedures offences,28
3003,WEST MELBOURNE,F Other offences,2
3003,WEST MELBOURNE,F Other offences,17
3004,MELBOURNE,A Crimes against the person,6
3004,MELBOURNE,B Property and deception offences,2
3004,MELBOURNE,B Property and deception offences,1
3004,MELBOURNE,B Property and deception offences,141
3004,MELBOURNE,B Property and deception offences,5
3004,MELBOURNE,B Property and deception offences,28
3004,MELBOURNE,C Drug offences,1
3004,MELBOURNE,D Public order and security offences,4
3006,SOUTH WHARF,A Crimes against the person,7
3006,SOUTH WHARF,B Property and deception offences,5
3006,SOUTH WHARF,B Property and deception offences,3
3006,SOUTH WHARF,B Property and deception offences,2
3006,SOUTH WHARF,B Property and deception offences,27
3006,SOUTH WHARF,B Property and deception offences,1
3006,SOUTH WHARF,B Property and deception offences,30
3006,SOUTH WHARF,B Property and deception offences,1
3006,SOUTH WHARF,B Property and deception offences,17
3006,SOUTH WHARF,B Property and deception offences,2
3006,SOUTH WHARF,C Drug offences,2
3006,SOUTH WHARF,D Public order and security offences,1
3006,SOUTH WHARF,D Public order and security offences,1
3006,SOUTH WHARF,D Public order and security offences,1
3006,SOUTH WHARF,E Justice procedures offences,1
3006,SOUTHBANK,A Crimes against the person,258
3006,SOUTHBANK,B Property and deception offences,6
3006,SOUTHBANK,B Property and deception offences,136
3006,SOUTHBANK,B Property and deception offences,2
3006,SOUTHBANK,B Property and deception offences,1
3006,SOUTHBANK,B Property and deception offences,1
3006,SOUTHBANK,B Property and deception offences,82
3006,SOUTHBANK,B Property and deception offences,49
3006,SOUTHBANK,B Property and deception offences,214
3006,SOUTHBANK,B Property and deception offences,19
3006,SOUTHBANK,B Property and deception offences,47
3006,SOUTHBANK,B Property and deception offences,13
3006,SOUTHBANK,B Property and deception offences,1
3006,SOUTHBANK,B Property and deception offences,296
3006,SOUTHBANK,B Property and deception offences,3
3006,SOUTHBANK,B Property and deception offences,228
3006,SOUTHBANK,B Property and deception offences,7
3006,SOUTHBANK,B Property and deception offences,2
3006,SOUTHBANK,C Drug offences,12
3006,SOUTHBANK,C Drug offences,1
3006,SOUTHBANK,C Drug offences,52
3006,SOUTHBANK,D Public order and security offences,29
3006,SOUTHBANK,D Public order and security offences,360
3006,SOUTHBANK,D Public order and security offences,18
3006,SOUTHBANK,E Justice procedures offences,12
3006,SOUTHBANK,E Justice procedures offences,20
3006,SOUTHBANK,F Other offences,1
3006,SOUTHBANK,F Other offences,22
3008,DOCKLANDS,A Crimes against the person,101
3008,DOCKLANDS,B Property and deception offences,3
3008,DOCKLANDS,B Property and deception offences,71
3008,DOCKLANDS,B Property and deception offences,2
3008,DOCKLANDS,B Property and deception offences,3
3008,DOCKLANDS,B Property and deception offences,32
3008,DOCKLANDS,B Property and deception offences,19
3008,DOCKLANDS,B Property and deception offences,55
3008,DOCKLANDS,B Property and deception offences,97
3008,DOCKLANDS,B Property and deception offences,14
3008,DOCKLANDS,B Property and deception offences,13
3008,DOCKLANDS,B Property and deception offences,169
3008,DOCKLANDS,B Property and deception offences,2
3008,DOCKLANDS,B Property and deception offences,181
3008,DOCKLANDS,B Property and deception offences,2
3008,DOCKLANDS,C Drug offences,9
3008,DOCKLANDS,C Drug offences,3
3008,DOCKLANDS,C Drug offences,43
3008,DOCKLANDS,D Public order and security offences,18
3008,DOCKLANDS,D Public order and security offences,129
3008,DOCKLANDS,D Public order and security offences,14
3008,DOCKLANDS,D Public order and security offences,11
3008,DOCKLANDS,E Justice procedures offences,22
3008,DOCKLANDS,E Justice procedures offences,30
3008,DOCKLANDS,F Other offences,3
3008,DOCKLANDS,F Other offences,2
3008,DOCKLANDS,F Other offences,1
3011,FOOTSCRAY,A Crimes against the person,355
3011,FOOTSCRAY,B Property and deception offences,5
3011,FOOTSCRAY,B Property and deception offences,259
3011,FOOTSCRAY,B Property and deception offences,10
3011,FOOTSCRAY,B Property and deception offences,2
3011,FOOTSCRAY,B Property and deception offences,17
3011,FOOTSCRAY,B Property and deception offences,188
3011,FOOTSCRAY,B Property and deception offences,127
3011,FOOTSCRAY,B Property and deception offences,319
3011,FOOTSCRAY,B Property and deception offences,175
3011,FOOTSCRAY,B Property and deception offences,37
3011,FOOTSCRAY,B Property and deception offences,107
3011,FOOTSCRAY,B Property and deception offences,8
3011,FOOTSCRAY,B Property and deception offences,339
3011,FOOTSCRAY,B Property and deception offences,8
3011,FOOTSCRAY,B Property and deception offences,88
3011,FOOTSCRAY,B Property and deception offences,21
3011,FOOTSCRAY,B Property and deception offences,2
3011,FOOTSCRAY,B Property and deception offences,1
3011,FOOTSCRAY,B Property and deception offences,1
3011,FOOTSCRAY,C Drug offences,271
3011,FOOTSCRAY,C Drug offences,5
3011,FOOTSCRAY,C Drug offences,280
3011,FOOTSCRAY,C Drug offences,1
3011,FOOTSCRAY,D Public order and security offences,103
3011,FOOTSCRAY,D Public order and security offences,306
3011,FOOTSCRAY,D Public order and security offences,15
3011,FOOTSCRAY,E Justice procedures offences,54
3011,FOOTSCRAY,E Justice procedures offences,46
3011,FOOTSCRAY,F Other offences,1
3011,FOOTSCRAY,F Other offences,11
3011,FOOTSCRAY,F Other offences,15
3011,FOOTSCRAY,F Other offences,2
3011,SEDDON,A Crimes against the person,30
3011,SEDDON,B Property and deception offences,1
3011,SEDDON,B Property and deception offences,31
3011,SEDDON,B Property and deception offences,1
3011,SEDDON,B Property and deception offences,5
3011,SEDDON,B Property and deception offences,51
3011,SEDDON,B Property and deception offences,21
3011,SEDDON,B Property and deception offences,74
3011,SEDDON,B Property and deception offences,7
3011,SEDDON,B Property and deception offences,13
3011,SEDDON,B Property and deception offences,11
3011,SEDDON,B Property and deception offences,28
3011,SEDDON,B Property and deception offences,1
3011,SEDDON,C Drug offences,8
3011,SEDDON,C Drug offences,8
3011,SEDDON,D Public order and security offences,2
3011,SEDDON,D Public order and security offences,7
3011,SEDDON,D Public order and security offences,2
3011,SEDDON,E Justice procedures offences,4
3011,SEDDON,E Justice procedures offences,5
3012,BROOKLYN,A Crimes against the person,29
3012,BROOKLYN,B Property and deception offences,24
3012,BROOKLYN,B Property and deception offences,1
3012,BROOKLYN,B Property and deception offences,3
3012,BROOKLYN,B Property and deception offences,56
3012,BROOKLYN,B Property and deception offences,16
3012,BROOKLYN,B Property and deception offences,50
3012,BROOKLYN,B Property and deception offences,8
3012,BROOKLYN,B Property and deception offences,1
3012,BROOKLYN,B Property and deception offences,6
3012,BROOKLYN,B Property and deception offences,47
3012,BROOKLYN,B Property and deception offences,2
3012,BROOKLYN,B Property and deception offences,20
3012,BROOKLYN,B Property and deception offences,1
3012,BROOKLYN,C Drug offences,7
3012,BROOKLYN,C Drug offences,1
3012,BROOKLYN,C Drug offences,15
3012,BROOKLYN,D Public order and security offences,8
3012,BROOKLYN,D Public order and security offences,9
3012,BROOKLYN,E Justice procedures offences,6
3012,BROOKLYN,E Justice procedures offences,1
3012,FOOTSCRAY WEST,A Crimes against the person,100
3012,FOOTSCRAY WEST,B Property and deception offences,1
3012,FOOTSCRAY WEST,B Property and deception offences,94
3012,FOOTSCRAY WEST,B Property and deception offences,7
3012,FOOTSCRAY WEST,B Property and deception offences,1
3012,FOOTSCRAY WEST,B Property and deception offences,15
3012,FOOTSCRAY WEST,B Property and deception offences,121
3012,FOOTSCRAY WEST,B Property and deception offences,89
3012,FOOTSCRAY WEST,B Property and deception offences,182
3012,FOOTSCRAY WEST,B Property and deception offences,9
3012,FOOTSCRAY WEST,B Property and deception offences,12
3012,FOOTSCRAY WEST,B Property and deception offences,9
3012,FOOTSCRAY WEST,B Property and deception offences,73
3012,FOOTSCRAY WEST,B Property and deception offences,2
3012,FOOTSCRAY WEST,B Property and deception offences,15
3012,FOOTSCRAY WEST,C Drug offences,24
3012,FOOTSCRAY WEST,C Drug offences,3
3012,FOOTSCRAY WEST,C Drug offences,19
3012,FOOTSCRAY WEST,D Public order and security offences,11
3012,FOOTSCRAY WEST,D Public order and security offences,21
3012,FOOTSCRAY WEST,D Public order and security offences,1
3012,FOOTSCRAY WEST,E Justice procedures offences,9
3012,FOOTSCRAY WEST,E Justice procedures offences,26
3012,KINGSVILLE,A Crimes against the person,14
3012,KINGSVILLE,B Property and deception offences,27
3012,KINGSVILLE,B Property and deception offences,1
3012,KINGSVILLE,B Property and deception offences,2
3012,KINGSVILLE,B Property and deception offences,30
3012,KINGSVILLE,B Property and deception offences,11
3012,KINGSVILLE,B Property and deception offences,81
3012,KINGSVILLE,B Property and deception offences,2
3012,KINGSVILLE,B Property and deception offences,3
3012,KINGSVILLE,B Property and deception offences,1
3012,KINGSVILLE,B Property and deception offences,10
3012,KINGSVILLE,B Property and deception offences,2
3012,KINGSVILLE,B Property and deception offences,1
3012,KINGSVILLE,C Drug offences,1
3012,KINGSVILLE,C Drug offences,2
3012,KINGSVILLE,D Public order and security offences,1
3012,KINGSVILLE,D Public order and security offences,3
3012,KINGSVILLE,D Public order and security offences,3
3012,KINGSVILLE,E Justice procedures offences,1
3012,KINGSVILLE,E Justice procedures offences,4
3012,MAIDSTONE,A Crimes against the person,90
3012,MAIDSTONE,B Property and deception offences,5
3012,MAIDSTONE,B Property and deception offences,39
3012,MAIDSTONE,B Property and deception offences,1
3012,MAIDSTONE,B Property and deception offences,5
3012,MAIDSTONE,B Property and deception offences,97
3012,MAIDSTONE,B Property and deception offences,55
3012,MAIDSTONE,B Property and deception offences,115
3012,MAIDSTONE,B Property and deception offences,9
3012,MAIDSTONE,B Property and deception offences,4
3012,MAIDSTONE,B Property and deception offences,23
3012,MAIDSTONE,B Property and deception offences,35
3012,MAIDSTONE,B Property and deception offences,2
3012,MAIDSTONE,B Property and deception offences,10
3012,MAIDSTONE,B Property and deception offences,1
3012,MAIDSTONE,B Property and deception offences,1
3012,MAIDSTONE,C Drug offences,26
3012,MAIDSTONE,C Drug offences,4
3012,MAIDSTONE,C Drug offences,23
3012,MAIDSTONE,D Public order and security offences,8
3012,MAIDSTONE,D Public order and security offences,23
3012,MAIDSTONE,D Public order and security offences,2
3012,MAIDSTONE,E Justice procedures offences,1
3012,MAIDSTONE,E Justice procedures offences,13
3012,MAIDSTONE,F Other offences,2
3012,TOTTENHAM,A Crimes against the person,16
3012,TOTTENHAM,B Property and deception offences,2
3012,TOTTENHAM,B Property and deception offences,9
3012,TOTTENHAM,B Property and deception offences,2
3012,TOTTENHAM,B Property and deception offences,7
3012,TOTTENHAM,B Property and deception offences,13
3012,TOTTENHAM,B Property and deception offences,13
3012,TOTTENHAM,B Property and deception offences,2
3012,TOTTENHAM,B Property and deception offences,2
3012,TOTTENHAM,B Property and deception offences,2
3012,TOTTENHAM,B Property and deception offences,15
3012,TOTTENHAM,B Property and deception offences,2
3012,TOTTENHAM,B Property and deception offences,35
3012,TOTTENHAM,B Property and deception offences,1
3012,TOTTENHAM,C Drug offences,5
3012,TOTTENHAM,D Public order and security offences,3
3012,TOTTENHAM,D Public order and security offences,4
3012,TOTTENHAM,D Public order and security offences,1
3012,TOTTENHAM,E Justice procedures offences,1
3012,TOTTENHAM,E Justice procedures offences,1
3012,TOTTENHAM,F Other offences,5
3013,YARRAVILLE,A Crimes against the person,101
3013,YARRAVILLE,B Property and deception offences,8
3013,YARRAVILLE,B Property and deception offences,78
3013,YARRAVILLE,B Property and deception offences,9
3013,YARRAVILLE,B Property and deception offences,9
3013,YARRAVILLE,B Property and deception offences,125
3013,YARRAVILLE,B Property and deception offences,46
3013,YARRAVILLE,B Property and deception offences,300
3013,YARRAVILLE,B Property and deception offences,25
3013,YARRAVILLE,B Property and deception offences,24
3013,YARRAVILLE,B Property and deception offences,22
3013,YARRAVILLE,B Property and deception offences,84
3013,YARRAVILLE,B Property and deception offences,5
3013,YARRAVILLE,B Property and deception offences,48
3013,YARRAVILLE,B Property and deception offences,2
3013,YARRAVILLE,C Drug offences,14
3013,YARRAVILLE,C Drug offences,44
3013,YARRAVILLE,D Public order and security offences,15
3013,YARRAVILLE,D Public order and security offences,25
3013,YARRAVILLE,E Justice procedures offences,3
3013,YARRAVILLE,E Justice procedures offences,6
3013,YARRAVILLE,F Other offences,1
3015,KINGSVILLE SOUTH,A Crimes against the person,25
3015,KINGSVILLE SOUTH,B Property and deception offences,10
3015,KINGSVILLE SOUTH,B Property and deception offences,2
3015,KINGSVILLE SOUTH,B Property and deception offences,2
3015,KINGSVILLE SOUTH,B Property and deception offences,17
3015,KINGSVILLE SOUTH,B Property and deception offences,6
3015,KINGSVILLE SOUTH,B Property and deception offences,19
3015,KINGSVILLE SOUTH,B Property and deception offences,4
3015,KINGSVILLE SOUTH,B Property and deception offences,3
3015,KINGSVILLE SOUTH,B Property and deception offences,5
3015,KINGSVILLE SOUTH,B Property and deception offences,3
3015,KINGSVILLE SOUTH,C Drug offences,3
3015,KINGSVILLE SOUTH,D Public order and security offences,3
3015,KINGSVILLE SOUTH,D Public order and security offences,2
3015,KINGSVILLE SOUTH,D Public order and security offences,1
3015,KINGSVILLE SOUTH,E Justice procedures offences,5
3015,KINGSVILLE SOUTH,E Justice procedures offences,1
3015,NEWPORT,A Crimes against the person,65
3015,NEWPORT,B Property and deception offences,3
3015,NEWPORT,B Property and deception offences,133
3015,NEWPORT,B Property and deception offences,24
3015,NEWPORT,B Property and deception offences,2
3015,NEWPORT,B Property and deception offences,11
3015,NEWPORT,B Property and deception offences,122
3015,NEWPORT,B Property and deception offences,48
3015,NEWPORT,B Property and deception offences,171
3015,NEWPORT,B Property and deception offences,7
3015,NEWPORT,B Property and deception offences,13
3015,NEWPORT,B Property and deception offences,16
3015,NEWPORT,B Property and deception offences,1
3015,NEWPORT,B Property and deception offences,63
3015,NEWPORT,B Property and deception offences,2
3015,NEWPORT,B Property and deception offences,24
3015,NEWPORT,B Property and deception offences,1
3015,NEWPORT,B Property and deception offences,1
3015,NEWPORT,C Drug offences,1
3015,NEWPORT,C Drug offences,1
3015,NEWPORT,C Drug offences,28
3015,NEWPORT,D Public order and security offences,13
3015,NEWPORT,D Public order and security offences,58
3015,NEWPORT,D Public order and security offences,3
3015,NEWPORT,E Justice procedures offences,5
3015,NEWPORT,E Justice procedures offences,14
3015,NEWPORT,F Other offences,2
3015,NEWPORT WEST,B Property and deception offences,1
3015,SPOTSWOOD,A Crimes against the person,17
3015,SPOTSWOOD,B Property and deception offences,2
3015,SPOTSWOOD,B Property and deception offences,34
3015,SPOTSWOOD,B Property and deception offences,2
3015,SPOTSWOOD,B Property and deception offences,32
3015,SPOTSWOOD,B Property and deception offences,16
3015,SPOTSWOOD,B Property and deception offences,64
3015,SPOTSWOOD,B Property and deception offences,3
3015,SPOTSWOOD,B Property and deception offences,3
3015,SPOTSWOOD,B Property and deception offences,3
3015,SPOTSWOOD,B Property and deception offences,71
3015,SPOTSWOOD,B Property and deception offences,2
3015,SPOTSWOOD,B Property and deception offences,10
3015,SPOTSWOOD,C Drug offences,1
3015,SPOTSWOOD,C Drug offences,5
3015,SPOTSWOOD,D Public order and security offences,1
3015,SPOTSWOOD,D Public order and security offences,3
3015,SPOTSWOOD,E Justice procedures offences,1
3015,SPOTSWOOD,E Justice procedures offences,1
3015,SPOTSWOOD,F Other offences,1
3016,WILLIAMSTOWN,A Crimes against the person,119
3016,WILLIAMSTOWN,B Property and deception offences,5
3016,WILLIAMSTOWN,B Property and deception offences,152
3016,WILLIAMSTOWN,B Property and deception offences,19
3016,WILLIAMSTOWN,B Property and deception offences,13
3016,WILLIAMSTOWN,B Property and deception offences,120
3016,WILLIAMSTOWN,B Property and deception offences,39
3016,WILLIAMSTOWN,B Property and deception offences,176
3016,WILLIAMSTOWN,B Property and deception offences,45
3016,WILLIAMSTOWN,B Property and deception offences,26
3016,WILLIAMSTOWN,B Property and deception offences,16
3016,WILLIAMSTOWN,B Property and deception offences,135
3016,WILLIAMSTOWN,B Property and deception offences,5
3016,WILLIAMSTOWN,B Property and deception offences,40
3016,WILLIAMSTOWN,B Property and deception offences,2
3016,WILLIAMSTOWN,B Property and deception offences,1
3016,WILLIAMSTOWN,C Drug offences,5
3016,WILLIAMSTOWN,C Drug offences,22
3016,WILLIAMSTOWN,D Public order and security offences,16
3016,WILLIAMSTOWN,D Public order and security offences,57
3016,WILLIAMSTOWN,D Public order and security offences,4
3016,WILLIAMSTOWN,E Justice procedures offences,11
3016,WILLIAMSTOWN,E Justice procedures offences,39
3016,WILLIAMSTOWN,F Other offences,6
3016,WILLIAMSTOWN,F Other offences,15
3016,WILLIAMSTOWN NORTH,A Crimes against the person,29
3016,WILLIAMSTOWN NORTH,B Property and deception offences,7
3016,WILLIAMSTOWN NORTH,B Property and deception offences,25
3016,WILLIAMSTOWN NORTH,B Property and deception offences,5
3016,WILLIAMSTOWN NORTH,B Property and deception offences,3
3016,WILLIAMSTOWN NORTH,B Property and deception offences,35
3016,WILLIAMSTOWN NORTH,B Property and deception offences,19
3016,WILLIAMSTOWN NORTH,B Property and deception offences,53
3016,WILLIAMSTOWN NORTH,B Property and deception offences,14
3016,WILLIAMSTOWN NORTH,B Property and deception offences,6
3016,WILLIAMSTOWN NORTH,B Property and deception offences,25
3016,WILLIAMSTOWN NORTH,B Property and deception offences,2
3016,WILLIAMSTOWN NORTH,B Property and deception offences,37
3016,WILLIAMSTOWN NORTH,B Property and deception offences,5
3016,WILLIAMSTOWN NORTH,C Drug offences,1
3016,WILLIAMSTOWN NORTH,C Drug offences,18
3016,WILLIAMSTOWN NORTH,D Public order and security offences,14
3016,WILLIAMSTOWN NORTH,D Public order and security offences,6
3016,WILLIAMSTOWN NORTH,E Justice procedures offences,3
3016,WILLIAMSTOWN NORTH,E Justice procedures offences,2
3016,WILLIAMSTOWN NORTH,F Other offences,2
3018,ALTONA,A Crimes against the person,115
3018,ALTONA,B Property and deception offences,10
3018,ALTONA,B Property and deception offences,107
3018,ALTONA,B Property and deception offences,11
3018,ALTONA,B Property and deception offences,2
3018,ALTONA,B Property and deception offences,10
3018,ALTONA,B Property and deception offences,108
3018,ALTONA,B Property and deception offences,42
3018,ALTONA,B Property and deception offences,115
3018,ALTONA,B Property and deception offences,48
3018,ALTONA,B Property and deception offences,9
3018,ALTONA,B Property and deception offences,15
3018,ALTONA,B Property and deception offences,1
3018,ALTONA,B Property and deception offences,123
3018,ALTONA,B Property and deception offences,14
3018,ALTONA,B Property and deception offences,48
3018,ALTONA,B Property and deception offences,5
3018,ALTONA,C Drug offences,4
3018,ALTONA,C Drug offences,2
3018,ALTONA,C Drug offences,22
3018,ALTONA,D Public order and security offences,33
3018,ALTONA,D Public order and security offences,42
3018,ALTONA,D Public order and security offences,2
3018,ALTONA,E Justice procedures offences,12
3018,ALTONA,E Justice procedures offences,9
3018,ALTONA,F Other offences,4
3018,ALTONA,F Other offences,1
3018,SEAHOLME,A Crimes against the person,7
3018,SEAHOLME,B Property and deception offences,12
3018,SEAHOLME,B Property and deception offences,3
3018,SEAHOLME,B Property and deception offences,15
3018,SEAHOLME,B Property and deception offences,1
3018,SEAHOLME,B Property and deception offences,6
3018,SEAHOLME,B Property and deception offences,6
3018,SEAHOLME,B Property and deception offences,2
3018,SEAHOLME,C Drug offences,3
3018,SEAHOLME,D Public order and security offences,1
3018,SEAHOLME,D Public order and security offences,5
3018,SEAHOLME,E Justice procedures offences,2
3019,BRAYBROOK,A Crimes against the person,104
3019,BRAYBROOK,B Property and deception offences,13
3019,BRAYBROOK,B Property and deception offences,92
3019,BRAYBROOK,B Property and deception offences,4
3019,BRAYBROOK,B Property and deception offences,1
3019,BRAYBROOK,B Property and deception offences,14
3019,BRAYBROOK,B Property and deception offences,141
3019,BRAYBROOK,B Property and deception offences,79
3019,BRAYBROOK,B Property and deception offences,161
3019,BRAYBROOK,B Property and deception offences,59
3019,BRAYBROOK,B Property and deception offences,3
3019,BRAYBROOK,B Property and deception offences,55
3019,BRAYBROOK,B Property and deception offences,118
3019,BRAYBROOK,B Property and deception offences,9
3019,BRAYBROOK,B Property and deception offences,38
3019,BRAYBROOK,B Property and deception offences,10
3019,BRAYBROOK,B Property and deception offences,1
3019,BRAYBROOK,B Property and deception offences,1
3019,BRAYBROOK,C Drug offences,32
3019,BRAYBROOK,C Drug offences,5
3019,BRAYBROOK,C Drug offences,103
3019,BRAYBROOK,D Public order and security offences,56
3019,BRAYBROOK,D Public order and security offences,28
3019,BRAYBROOK,D Public order and security offences,1
3019,BRAYBROOK,E Justice procedures offences,1
3019,BRAYBROOK,E Justice procedures offences,11
3019,BRAYBROOK,F Other offences,2
3019,BRAYBROOK,F Other offences,1
3020,ALBION,A Crimes against the person,77
3020,ALBION,B Property and deception offences,5
3020,ALBION,B Property and deception offences,43
3020,ALBION,B Property and deception offences,6
3020,ALBION,B Property and deception offences,2
3020,ALBION,B Property and deception offences,7
3020,ALBION,B Property and deception offences,72
3020,ALBION,B Property and deception offences,28
3020,ALBION,B Property and deception offences,79
3020,ALBION,B Property and deception offences,2
3020,ALBION,B Property and deception offences,1
3020,ALBION,B Property and deception offences,6
3020,ALBION,B Property and deception offences,2
3020,ALBION,B Property and deception offences,26
3020,ALBION,B Property and deception offences,1
3020,ALBION,B Property and deception offences,3
3020,ALBION,B Property and deception offences,1
3020,ALBION,C Drug offences,3
3020,ALBION,C Drug offences,16
3020,ALBION,D Public order and security offences,11
3020,ALBION,D Public order and security offences,8
3020,ALBION,D Public order and security offences,4
3020,ALBION,E Justice procedures offences,2
3020,ALBION,E Justice procedures offences,6
3020,SUNSHINE,A Crimes against the person,459
3020,SUNSHINE,B Property and deception offences,11
3020,SUNSHINE,B Property and deception offences,224
3020,SUNSHINE,B Property and deception offences,12
3020,SUNSHINE,B Property and deception offences,2
3020,SUNSHINE,B Property and deception offences,13
3020,SUNSHINE,B Property and deception offences,270
3020,SUNSHINE,B Property and deception offences,205
3020,SUNSHINE,B Property and deception offences,446
3020,SUNSHINE,B Property and deception offences,208
3020,SUNSHINE,B Property and deception offences,9
3020,SUNSHINE,B Property and deception offences,93
3020,SUNSHINE,B Property and deception offences,1
3020,SUNSHINE,B Property and deception offences,465
3020,SUNSHINE,B Property and deception offences,11
3020,SUNSHINE,B Property and deception offences,232
3020,SUNSHINE,B Property and deception offences,16
3020,SUNSHINE,B Property and deception offences,3
3020,SUNSHINE,C Drug offences,36
3020,SUNSHINE,C Drug offences,15
3020,SUNSHINE,C Drug offences,132
3020,SUNSHINE,D Public order and security offences,91
3020,SUNSHINE,D Public order and security offences,100
3020,SUNSHINE,D Public order and security offences,7
3020,SUNSHINE,E Justice procedures offences,119
3020,SUNSHINE,E Justice procedures offences,767
3020,SUNSHINE,F Other offences,4
3020,SUNSHINE,F Other offences,1
3020,SUNSHINE,F Other offences,1
3020,SUNSHINE NORTH,A Crimes against the person,71
3020,SUNSHINE NORTH,B Property and deception offences,11
3020,SUNSHINE NORTH,B Property and deception offences,69
3020,SUNSHINE NORTH,B Property and deception offences,3
3020,SUNSHINE NORTH,B Property and deception offences,11
3020,SUNSHINE NORTH,B Property and deception offences,99
3020,SUNSHINE NORTH,B Property and deception offences,67
3020,SUNSHINE NORTH,B Property and deception offences,121
3020,SUNSHINE NORTH,B Property and deception offences,7
3020,SUNSHINE NORTH,B Property and deception offences,3
3020,SUNSHINE NORTH,B Property and deception offences,24
3020,SUNSHINE NORTH,B Property and deception offences,59
3020,SUNSHINE NORTH,B Property and deception offences,2
3020,SUNSHINE NORTH,B Property and deception offences,12
3020,SUNSHINE NORTH,C Drug offences,9
3020,SUNSHINE NORTH,C Drug offences,5
3020,SUNSHINE NORTH,C Drug offences,45
3020,SUNSHINE NORTH,D Public order and security offences,27
3020,SUNSHINE NORTH,D Public order and security offences,10
3020,SUNSHINE NORTH,D Public order and security offences,1
3020,SUNSHINE NORTH,E Justice procedures offences,7
3020,SUNSHINE NORTH,E Justice procedures offences,11
3020,SUNSHINE NORTH,F Other offences,3
